"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ qué tal estás ?",TÚ HOLA TAL QUÉ 
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
<<<<<<< HEAD
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
"Hola , ¿ cómo estás ?",TÚ HOLA CÓMO 
=======
>>>>>>> f34597b67489cfa59ff571d61f3baa07a0f2ab9e
